Gender,Age,Education Level,Marital Status,Household Males,Household Females,Educated Family Members,Oldest Child?,Younger Siblings,Older Siblings,Mother’s Education,Father’s Education,Parents’ Jobs,Family Income,Part-Time Work?,District,Family Abroad,Abroad Country,Plans to Study Abroad,Reasons for Staying,Target Study Abroad Country,Planned Year Abroad,Study Subject Abroad,Decision Difficulty,AI Tool Usefulness (1-10),Current Country,Study Start Date,Study Subject,Choosing Difficulty,AI Tool Usefulness (1-10),Education Quality,Career Prospects,Political Factors,Social Factors,Economic Factors,Safety/Security,University Preference,Language Access,Cultural Exposure,Research Opportunities,Environmental Factors,AI Familiarity,Key AI Factors,Valuable AI Insights,AI Bias Concerns,Trust in AI,Used AI Tools,Additional Comments,Quality Edu Ranking - A,Quality Edu Ranking - B,Career Rank -A,Career Rank -B,Political Rank -A,Political Rank -B,Social Rank -A,Social Rank -B,Economic Rank -A,Economic Rank -B,Safety Rank -A,Safety Rank -B,University Rank -A,University Rank -B,Language Rank -A,Language Rank -B,Cultural Rank -A,Cultural Rank -B,Research Rank -A,Research Rank -B,Environment Rank -A,Environment Rank -B
Female,31-40,Master's Degree,Married,2,2,2,Yes,1,,Illiterate,Illiterate,Agriculture,"Below NPR 30,000",Yes,Bhojpur,No,,No plan to go,,,,,,,,,,,,Option A,Option A,Option A,Option A,Option B,Option B,Option A,Option B,Option B,Option A,Option A,Moderately familiar,Accuracy and reliability of the recommendations,Understanding visa and immigration requirements,Neutral,Transparency about the data sources and algorithms used,,,"Limited availability of scholarships
 ,High-quality education,Moderately priced tuition fees",,"Higher paygrade
 ,Strong career prospects and job opportunities post-graduation
 ,Limited availability of part-time job opportunities during studies",,"Lower living expenses due to economic challenges,Political stability and security in the home country,Abundant access to civil liberties and freedom of expression",,"Access to diverse social networks and communities,Few opportunities for social interaction
 ,Higher cost of living in socially vibrant urban areas",,"Access to diverse job opportunities with competitive salaries
 ,Higher cost of living in urban areas
 ,Limited availability of affordable housing options",,,"Efficient emergency services,Low crime rates,Active police presence","Few opportunity after graduation,Prestige and reputation of universities
 ,Limited availability of desired courses",,,"Some level of language barrier may exist making communication less straightforward,Different primary language spoken requiring language adaptation
 ,Requirement for language proficiency tests (IELTS/PET/TOEFL)",,"Limited cultural exposure and diversity on campus
 ,Accessible cultural events
 ,Greater opportunities for cultural exchange","Few collaborations with other researchers
 ,Abundant research opportunities and resources available during studies
 ,Limited availability of research job opportunities after studies",,"Access to clean and sustainable living environments
 ,Limited availability of outdoor recreational activities
 ,Higher cost of living in environmentally rich regions",
Female,16-20,High School,Single,12,10,5,Yes,more than 5,,Bachelor's Degree,Primary,Agriculture,"Below NPR 30,000",Yes,Dolpa,No,,Yes,,Russian Federation,2024,Arts and Design,Very Hard,4,,,,,,Option A,Option A,Option B,Option B,Option B,Option B,Option B,Option B,Option B,Option B,Option A,Moderately familiar,Personalization based on your specific preferences and goals,Finding scholarship or financial aid opportunities,Somewhat concerned,Clear explanations of how recommendations align with my preferences,Yes..snapchat,Yes,"High-quality education,Moderately priced tuition fees
 ,Limited availability of scholarships",,"Higher paygrade
 ,Strong career prospects and job opportunities post-graduation
 ,Limited availability of part-time job opportunities during studies",,,"Limited access to civil liberties and freedom of expression
 ,Higher living expenses due to economic challenges
 ,Political instability and unrest in the home country",,"Abundant opportunities for social interaction
 ,Lower cost of living in quieter areas
 ,Limited social integration and community engagement","Higher cost of living in urban areas
 ,Access to diverse job opportunities with competitive salaries
 ,Limited availability of affordable housing options",,,"Low crime rates,Efficient emergency services,Active police presence",,"Moderately prestige and reputation of universities
 ,Diverse availability of desired courses
 ,More opportunity after graduation",,"Requirement for language proficiency tests (IELTS/PET/TOEFL)
 ,Different primary language spoken requiring language adaptation
 ,Some level of language barrier may exist making communication less straightforward",,"Greater opportunities for cultural exchange
 ,Limited cultural exposure and diversity on campus
 ,Accessible cultural events",,"Abundant availability of research job opportunities after studies,High collaborations with other researchers,Limited research opportunities and resources available during studies","Higher cost of living in environmentally rich regions
 ,Access to clean and sustainable living environments
 ,Limited availability of outdoor recreational activities",
Non-binary,21-25,Bachelor's Degree,Single,2,2,4,Yes,1,,Bachelor's Degree,Bachelor's Degree,Government Service,"NPR 60,001 to NPR 80,000",No,Kathmandu,No,,No plan to go,,,,,,,,,,,,Option A,Option A,Option A,Option A,Option A,Option B,Option B,Option B,Option B,Option B,Option B,Moderately familiar,Transparency in how the AI tool arrives at its recommendations,Understanding visa and immigration requirements,Not very concerned,User reviews and ratings from other students,,,"High-quality education,Moderately priced tuition fees
 ,Limited availability of scholarships",,"Limited availability of part-time job opportunities during studies
 ,Higher paygrade
 ,Strong career prospects and job opportunities post-graduation",,"Lower living expenses due to economic challenges,Political stability and security in the home country,Abundant access to civil liberties and freedom of expression",,"Higher cost of living in socially vibrant urban areas
 ,Access to diverse social networks and communities,Few opportunities for social interaction",,"Access to diverse job opportunities with competitive salaries
 ,Limited availability of affordable housing options
 ,Higher cost of living in urban areas",,,"Active police presence,Efficient emergency services,Low crime rates",,"Moderately prestige and reputation of universities
 ,Diverse availability of desired courses
 ,More opportunity after graduation",,"Some level of language barrier may exist making communication less straightforward,Requirement for language proficiency tests (IELTS/PET/TOEFL)
 ,Different primary language spoken requiring language adaptation",,"Greater opportunities for cultural exchange
 ,Limited cultural exposure and diversity on campus
 ,Accessible cultural events",,"Abundant availability of research job opportunities after studies,High collaborations with other researchers,Limited research opportunities and resources available during studies",,"Lower cost of living in environmentally diverse regions
 ,Exposure to environmental pollution and degradation
 ,Abundant availability of outdoor recreational activities"
Male,26-30,Master's Degree,Married,2,2,3,Yes,1,,Bachelor's Degree,Bachelor's Degree,Business,"NPR 30,001 to NPR 60,000",No,Chitwan,No,,I am already in Abroad,,,,,,,United Kingdom,01/08/2022,"Humanities (Languages, Literature, History, Philosophy)",Neutral,5,Option A,Option A,Option A,Option B,Option B,Option B,Option A,Option B,Option B,Option A,Option A,Moderately familiar,Transparency in how the AI tool arrives at its recommendations,Estimating the total cost of studying and living expenses,Neutral,Endorsements or certifications from reputable organizations,,,"Moderately priced tuition fees
 ,High-quality education,Limited availability of scholarships",,"Limited availability of part-time job opportunities during studies
 ,Higher paygrade
 ,Strong career prospects and job opportunities post-graduation",,"Lower living expenses due to economic challenges,Political stability and security in the home country,Abundant access to civil liberties and freedom of expression",,,"Abundant opportunities for social interaction
 ,Lower cost of living in quieter areas
 ,Limited social integration and community engagement","Access to diverse job opportunities with competitive salaries
 ,Limited availability of affordable housing options
 ,Higher cost of living in urban areas",,,"Active police presence,Efficient emergency services,Low crime rates","Limited availability of desired courses,Prestige and reputation of universities
 ,Few opportunity after graduation",,,"Different primary language spoken requiring language adaptation
 ,Some level of language barrier may exist making communication less straightforward,Requirement for language proficiency tests (IELTS/PET/TOEFL)",,"Greater opportunities for cultural exchange
 ,Limited cultural exposure and diversity on campus
 ,Accessible cultural events","Abundant research opportunities and resources available during studies
 ,Limited availability of research job opportunities after studies
 ,Few collaborations with other researchers",,"Access to clean and sustainable living environments
 ,Limited availability of outdoor recreational activities
 ,Higher cost of living in environmentally rich regions",
Female,16-20,Bachelor's Degree,Single,1,3,4,No,,1,PCL/+2,Bachelor's Degree,Agriculture,"NPR 80,001 to NPR 1,10,000",No,Udayapur,No,,No plan to go,,,,,,,,,,,,Option B,Option A,Option A,Option A,Option B,Option B,Option B,Option A,Option B,Option A,Option B,Moderately familiar,"Transparency in how the AI tool arrives at its recommendations,Personalization based on your specific preferences and goals,Cost-effectiveness and affordability of the AI tool","Choosing a country or region,Selecting a specific university or program,Estimating the total cost of studying and living expenses",Neutral,"Explanations of the reasoning behind the recommendations,Transparency about the data sources and algorithms used,Endorsements or certifications from reputable organizations",,,,"Abundant availability of scholarships
 ,Moderate-quality education
 ,High tuition fees","Strong career prospects and job opportunities post-graduation
 ,Higher paygrade
 ,Limited availability of part-time job opportunities during studies",,"Lower living expenses due to economic challenges,Political stability and security in the home country,Abundant access to civil liberties and freedom of expression",,"Higher cost of living in socially vibrant urban areas
 ,Few opportunities for social interaction
 ,Access to diverse social networks and communities",,,"Limited job opportunities with lower salaries
 ,Abundant availability of affordable housing options,Lower cost of living in rural areas",,"Active police presence,Efficient emergency services,Low crime rates",,"Diverse availability of desired courses,Moderately prestige and reputation of universities
 ,More opportunity after graduation","Communication is generally easy due to fluency in the local language
 ,Majority of the population speaks a language I am fluent in
 ,No requirement for language proficiency tests (IELTS/PET/TOEFL)",,,"Limited cultural exposure and diversity on campus
 ,Accessible cultural events
 ,Greater opportunities for cultural exchange","Abundant research opportunities and resources available during studies
 ,Few collaborations with other researchers
 ,Limited availability of research job opportunities after studies",,,"Lower cost of living in environmentally diverse regions
 ,Abundant availability of outdoor recreational activities
 ,Exposure to environmental pollution and degradation"
Male,21-25,Bachelor's Degree,Single,2,2,4,Yes,1,,PCL/+2,Master's Degree,Business,"NPR 1,10,001 to NPR 2,00,000",No,Morang,No,,No plan to go,,,,,,,,,,,,Option B,Option A,Option B,Option A,Option A,Option A,Option B,Option B,Option B,Option A,Option A,Moderately familiar,"Transparency in how the AI tool arrives at its recommendations,Personalization based on your specific preferences and goals,Cost-effectiveness and affordability of the AI tool","Estimating the total cost of studying and living expenses,Understanding visa and immigration requirements,Finding scholarship or financial aid opportunities",Neutral,"Explanations of the reasoning behind the recommendations,Transparency about the data sources and algorithms used,Endorsements or certifications from reputable organizations",,,,"Abundant availability of scholarships
 ,Moderate-quality education
 ,High tuition fees","Strong career prospects and job opportunities post-graduation
 ,Higher paygrade
 ,Limited availability of part-time job opportunities during studies",,,"Limited access to civil liberties and freedom of expression
 ,Higher living expenses due to economic challenges
 ,Political instability and unrest in the home country","Access to diverse social networks and communities,Higher cost of living in socially vibrant urban areas
 ,Few opportunities for social interaction",,,"Abundant availability of affordable housing options,Lower cost of living in rural areas
 ,Limited job opportunities with lower salaries","Limited police presence
 ,Inadequate emergency services
 ,High crime rates",,,"Moderately prestige and reputation of universities
 ,Diverse availability of desired courses
 ,More opportunity after graduation",,"Some level of language barrier may exist making communication less straightforward,Requirement for language proficiency tests (IELTS/PET/TOEFL)
 ,Different primary language spoken requiring language adaptation",,"Accessible cultural events
 ,Greater opportunities for cultural exchange
 ,Limited cultural exposure and diversity on campus","Abundant research opportunities and resources available during studies
 ,Few collaborations with other researchers
 ,Limited availability of research job opportunities after studies",,"Higher cost of living in environmentally rich regions
 ,Limited availability of outdoor recreational activities
 ,Access to clean and sustainable living environments",
Non-binary,26-30,Master's Degree,Single,2,2,4,Yes,1,,Bachelor's Degree,Master's Degree,Business,"NPR 2,00,001 to NPR 500,000",No,Ilam,No,,No plan to go,,,,,,,,,,,,Option B,Option A,Option A,Option B,Option B,Option A,Option A,Option A,Option A,Option A,Option B,Very familiar,"Accuracy and reliability of the recommendations,Transparency in how the AI tool arrives at its recommendations,Personalization based on your specific preferences and goals,Cost-effectiveness and affordability of the AI tool","Choosing a country or region,Selecting a specific university or program,Estimating the total cost of studying and living expenses,Understanding visa and immigration requirements,Finding scholarship or financial aid opportunities",Neutral,"Explanations of the reasoning behind the recommendations,Transparency about the data sources and algorithms used,Endorsements or certifications from reputable organizations,Clear explanations of how recommendations align with my preferences",,,,"High tuition fees
 ,Abundant availability of scholarships
 ,Moderate-quality education","Limited availability of part-time job opportunities during studies
 ,Higher paygrade
 ,Strong career prospects and job opportunities post-graduation",,"Lower living expenses due to economic challenges,Abundant access to civil liberties and freedom of expression,Political stability and security in the home country",,,"Limited social integration and community engagement
 ,Abundant opportunities for social interaction
 ,Lower cost of living in quieter areas","Access to diverse job opportunities with competitive salaries
 ,Higher cost of living in urban areas
 ,Limited availability of affordable housing options",,"Inadequate emergency services
 ,High crime rates
 ,Limited police presence",,"Limited availability of desired courses,Prestige and reputation of universities
 ,Few opportunity after graduation",,"Communication is generally easy due to fluency in the local language
 ,Majority of the population speaks a language I am fluent in
 ,No requirement for language proficiency tests (IELTS/PET/TOEFL)",,"Limited access to cultural events,Rich cultural exposure and diversity on campus
 ,Few opportunities for cultural exchange",,"Abundant research opportunities and resources available during studies
 ,Few collaborations with other researchers
 ,Limited availability of research job opportunities after studies",,,"Lower cost of living in environmentally diverse regions
 ,Abundant availability of outdoor recreational activities
 ,Exposure to environmental pollution and degradation"
Female,21-25,Bachelor's Degree,Single,1,2,3,Yes,1,,PCL/+2,Bachelor's Degree,Business,"NPR 30,001 to NPR 60,000",No,Bajura,No,,No plan to go,,,,,,,,,,,,Option A,Option B,Option B,Option B,Option B,Option B,Option B,Option B,Option B,Option A,Option B,Moderately familiar,Transparency in how the AI tool arrives at its recommendations,Understanding visa and immigration requirements,Somewhat concerned,User reviews and ratings from other students,,,"High-quality education,Moderately priced tuition fees
 ,Limited availability of scholarships",,,"Abundant availability of part-time job opportunities during studies,Lower paygrade,Moderate career prospects and job opportunities post-graduation",,"Higher living expenses due to economic challenges
 ,Political instability and unrest in the home country
 ,Limited access to civil liberties and freedom of expression",,"Limited social integration and community engagement
 ,Abundant opportunities for social interaction
 ,Lower cost of living in quieter areas",,"Abundant availability of affordable housing options,Lower cost of living in rural areas
 ,Limited job opportunities with lower salaries",,"Active police presence,Efficient emergency services,Low crime rates",,"Moderately prestige and reputation of universities
 ,More opportunity after graduation,Diverse availability of desired courses",,"Different primary language spoken requiring language adaptation
 ,Requirement for language proficiency tests (IELTS/PET/TOEFL)
 ,Some level of language barrier may exist making communication less straightforward",,"Limited cultural exposure and diversity on campus
 ,Accessible cultural events
 ,Greater opportunities for cultural exchange","Abundant research opportunities and resources available during studies
 ,Few collaborations with other researchers
 ,Limited availability of research job opportunities after studies",,,"Lower cost of living in environmentally diverse regions
 ,Exposure to environmental pollution and degradation
 ,Abundant availability of outdoor recreational activities"
Male,21-25,Master's Degree,Single,2,3,5,No,,2,PCL/+2,Bachelor's Degree,Non-Governmental Service,"NPR 1,10,001 to NPR 2,00,000",No,Jhapa,No,,Yes,,United States,2025,"Social Sciences (Psychology ,Sociology, Political Science)",Neutral,4,,,,,,Option B,Option B,Option B,Option B,Option B,Option B,Option B,Option B,Option B,Option B,Option B,Moderately familiar,"Transparency in how the AI tool arrives at its recommendations,Personalization based on your specific preferences and goals","Estimating the total cost of studying and living expenses,Finding scholarship or financial aid opportunities",Neutral,"Transparency about the data sources and algorithms used,User reviews and ratings from other students",,,,"High tuition fees
 ,Abundant availability of scholarships
 ,Moderate-quality education",,"Abundant availability of part-time job opportunities during studies,Lower paygrade,Moderate career prospects and job opportunities post-graduation",,"Political instability and unrest in the home country
 ,Limited access to civil liberties and freedom of expression
 ,Higher living expenses due to economic challenges",,"Abundant opportunities for social interaction
 ,Limited social integration and community engagement
 ,Lower cost of living in quieter areas",,"Limited job opportunities with lower salaries ,Abundant availability of affordable housing options,Lower cost of living in rural areas",,"Active police presence,Low crime rates,Efficient emergency services",,"Diverse availability of desired courses
 ,Moderately prestige and reputation of universities
 ,More opportunity after graduation",,"Different primary language spoken requiring language adaptation
 ,Requirement for language proficiency tests (IELTS/PET/TOEFL)
 ,Some level of language barrier may exist making communication less straightforward",,"Limited cultural exposure and diversity on campus
 ,Accessible cultural events
 ,Greater opportunities for cultural exchange",,"High collaborations with other researchers,Abundant availability of research job opportunities after studies,Limited research opportunities and resources available during studies",,"Lower cost of living in environmentally diverse regions
 ,Exposure to environmental pollution and degradation
 ,Abundant availability of outdoor recreational activities"
Female,16-20,High School,Married,2,1,3,No,,1,PCL/+2,PCL/+2,Non-Governmental Service,"Below NPR 30,000",Yes,Dolakha,No,,Yes,,Australia,2025,"STEM (Science, Technology, Engineering, Mathematics)",Hard,7,,,,,,Option A,Option B,Option B,Option B,Option A,Option B,Option B,Option B,Option B,Option A,Option A,Slightly familiar,Transparency in how the AI tool arrives at its recommendations,Finding scholarship or financial aid opportunities,Somewhat concerned,User reviews and ratings from other students,,,"High-quality education,Moderately priced tuition fees
 ,Limited availability of scholarships",,,"Lower paygrade,Moderate career prospects and job opportunities post-graduation,Abundant availability of part-time job opportunities during studies",,"Political instability and unrest in the home country
 ,Limited access to civil liberties and freedom of expression
 ,Higher living expenses due to economic challenges",,"Lower cost of living in quieter areas
 ,Abundant opportunities for social interaction
 ,Limited social integration and community engagement",,"Limited job opportunities with lower salaries
 ,Abundant availability of affordable housing options,Lower cost of living in rural areas",,"Efficient emergency services,Low crime rates,Active police presence",,"Diverse availability of desired courses
 ,Moderately prestige and reputation of universities
 ,More opportunity after graduation",,"Different primary language spoken requiring language adaptation
 ,Some level of language barrier may exist making communication less straightforward,Requirement for language proficiency tests (IELTS/PET/TOEFL)",,"Limited cultural exposure and diversity on campus
 ,Accessible cultural events
 ,Greater opportunities for cultural exchange","Abundant research opportunities and resources available during studies
 ,Few collaborations with other researchers
 ,Limited availability of research job opportunities after studies",,"Limited availability of outdoor recreational activities
 ,Higher cost of living in environmentally rich regions
 ,Access to clean and sustainable living environments",
Female,21-25,Master's Degree,Single,1,3,4,No,,1,Bachelor's Degree,Bachelor's Degree,Non-Governmental Service,"NPR 1,10,001 to NPR 2,00,000",Yes,Jhapa,Yes,Australia,I am already in Abroad,,,,,,,Australia,01/05/2024,Business and Economics,Neutral,5,Option A,Option A,Option A,Option A,Option A,Option A,Option A,Option A,Option A,Option A,Option A,Moderately familiar,"Accuracy and reliability of the recommendations,Transparency in how the AI tool arrives at its recommendations,Personalization based on your specific preferences and goals","Choosing a country or region,Selecting a specific university or program,Estimating the total cost of studying and living expenses,Understanding visa and immigration requirements,Finding scholarship or financial aid opportunities",Somewhat concerned,"Explanations of the reasoning behind the recommendations,Transparency about the data sources and algorithms used,Endorsements or certifications from reputable organizations",,,"Moderately priced tuition fees
 ,Limited availability of scholarships
 ,High-quality education",,"Limited availability of part-time job opportunities during studies
 ,Higher paygrade
 ,Strong career prospects and job opportunities post-graduation",,"Political stability and security in the home country,Abundant access to civil liberties and freedom of expression,Lower living expenses due to economic challenges",,"Higher cost of living in socially vibrant urban areas
 ,Access to diverse social networks and communities,Few opportunities for social interaction",,"Higher cost of living in urban areas
 ,Access to diverse job opportunities with competitive salaries
 ,Limited availability of affordable housing options",,"Limited police presence
 ,Inadequate emergency services
 ,High crime rates",,"Prestige and reputation of universities
 ,Few opportunity after graduation,Limited availability of desired courses",,"Communication is generally easy due to fluency in the local language
 ,Majority of the population speaks a language I am fluent in
 ,No requirement for language proficiency tests (IELTS/PET/TOEFL)",,"Limited access to cultural events,Rich cultural exposure and diversity on campus
 ,Few opportunities for cultural exchange",,"Few collaborations with other researchers
 ,Abundant research opportunities and resources available during studies
 ,Limited availability of research job opportunities after studies",,"Higher cost of living in environmentally rich regions
 ,Access to clean and sustainable living environments
 ,Limited availability of outdoor recreational activities",
Female,16-20,High School,Single,5,5,8,No,,1,PCL/+2,Bachelor's Degree,Government Service,"NPR 30,001 to NPR 60,000",Yes,Kathmandu,Yes,Australia,I am already in Abroad,,,,,,,Australia,01/08/2024,"Social Sciences (Psychology ,Sociology, Political Science)",Hard,8,Option A,Option B,Option B,Option B,Option A,Option B,Option A,Option A,Option A,Option B,Option B,Moderately familiar,"Transparency in how the AI tool arrives at its recommendations,Personalization based on your specific preferences and goals",Choosing a country or region,Not very concerned,"Explanations of the reasoning behind the recommendations,Clear explanations of how recommendations align with my preferences",,,"High-quality education,Moderately priced tuition fees
 ,Limited availability of scholarships",,,"Abundant availability of part-time job opportunities during studies,Moderate career prospects and job opportunities post-graduation,Lower paygrade",,"Higher living expenses due to economic challenges
 ,Political instability and unrest in the home country
 ,Limited access to civil liberties and freedom of expression",,"Lower cost of living in quieter areas
 ,Abundant opportunities for social interaction
 ,Limited social integration and community engagement","Higher cost of living in urban areas
 ,Access to diverse job opportunities with competitive salaries
 ,Limited availability of affordable housing options",,,"Efficient emergency services,Low crime rates,Active police presence","Prestige and reputation of universities
 ,Few opportunity after graduation,Limited availability of desired courses",,"Communication is generally easy due to fluency in the local language
 ,Majority of the population speaks a language I am fluent in
 ,No requirement for language proficiency tests (IELTS/PET/TOEFL)",,"Few opportunities for cultural exchange
 ,Rich cultural exposure and diversity on campus
 ,Limited access to cultural events",,,"High collaborations with other researchers,Limited research opportunities and resources available during studies,Abundant availability of research job opportunities after studies",,"Lower cost of living in environmentally diverse regions
 ,Exposure to environmental pollution and degradation
 ,Abundant availability of outdoor recreational activities"
Female,16-20,High School,Single,1,4,4,No,,2,PCL/+2,PCL/+2,Government Service,"NPR 30,001 to NPR 60,000",No,Tanahun,No,,No plan to go,,,,,,,,,,,,Option B,Option A,Option A,Option B,Option B,Option B,Option B,Option A,Option B,Option B,Option A,Moderately familiar,Accuracy and reliability of the recommendations,Finding scholarship or financial aid opportunities,Neutral,Clear explanations of how recommendations align with my preferences,Chat gpt,,,"Abundant availability of scholarships
 ,Moderate-quality education
 ,High tuition fees","Strong career prospects and job opportunities post-graduation
 ,Higher paygrade
 ,Limited availability of part-time job opportunities during studies",,"Political stability and security in the home country,Lower living expenses due to economic challenges,Abundant access to civil liberties and freedom of expression",,,"Lower cost of living in quieter areas
 ,Abundant opportunities for social interaction
 ,Limited social integration and community engagement","Higher cost of living in urban areas
 ,Access to diverse job opportunities with competitive salaries
 ,Limited availability of affordable housing options",,,"Low crime rates,Efficient emergency services,Active police presence",,"More opportunity after graduation,Diverse availability of desired courses
 ,Moderately prestige and reputation of universities","Majority of the population speaks a language I am fluent in
 ,Communication is generally easy due to fluency in the local language
 ,No requirement for language proficiency tests (IELTS/PET/TOEFL)",,,"Accessible cultural events
 ,Limited cultural exposure and diversity on campus
 ,Greater opportunities for cultural exchange",,"Abundant availability of research job opportunities after studies,High collaborations with other researchers,Limited research opportunities and resources available during studies","Access to clean and sustainable living environments
 ,Limited availability of outdoor recreational activities
 ,Higher cost of living in environmentally rich regions",
Male,16-20,High School,Single,2,2,4,Yes,1,,Secondary,Bachelor's Degree,Agriculture,"Below NPR 30,000",Yes,Khotang,No,,No plan to go,,,,,,,,,,,,Option A,Option B,Option A,Option A,Option A,Option B,Option B,Option B,Option A,Option A,Option B,Slightly familiar,"Transparency in how the AI tool arrives at its recommendations,Personalization based on your specific preferences and goals","Choosing a country or region,Finding scholarship or financial aid opportunities",Neutral,"Endorsements or certifications from reputable organizations,User reviews and ratings from other students",,,"Moderately priced tuition fees
 ,High-quality education,Limited availability of scholarships",,,"Lower paygrade,Moderate career prospects and job opportunities post-graduation,Abundant availability of part-time job opportunities during studies","Political stability and security in the home country,Abundant access to civil liberties and freedom of expression,Lower living expenses due to economic challenges",,"Higher cost of living in socially vibrant urban areas
 ,Few opportunities for social interaction
 ,Access to diverse social networks and communities",,"Access to diverse job opportunities with competitive salaries
 ,Limited availability of affordable housing options
 ,Higher cost of living in urban areas",,,"Efficient emergency services,Low crime rates,Active police presence",,"Diverse availability of desired courses
 ,Moderately prestige and reputation of universities
 ,More opportunity after graduation",,"Some level of language barrier may exist making communication less straightforward,Requirement for language proficiency tests (IELTS/PET/TOEFL)
 ,Different primary language spoken requiring language adaptation","Few opportunities for cultural exchange
 ,Rich cultural exposure and diversity on campus
 ,Limited access to cultural events",,"Few collaborations with other researchers
 ,Abundant research opportunities and resources available during studies
 ,Limited availability of research job opportunities after studies",,,"Lower cost of living in environmentally diverse regions
 ,Exposure to environmental pollution and degradation
 ,Abundant availability of outdoor recreational activities"
Female,16-20,High School,Single,3,3,4,Yes,1,,PCL/+2,Bachelor's Degree,Business,"Below NPR 30,000",No,Kathmandu,No,,Yes,,United States,2029,"STEM (Science, Technology, Engineering, Mathematics)",Hard,8,,,,,,Option A,Option A,Option A,Option B,Option B,Option B,Option B,Option A,Option B,Option A,Option A,Moderately familiar,"Personalization based on your specific preferences and goals,Cost-effectiveness and affordability of the AI tool","Choosing a country or region,Understanding visa and immigration requirements,Finding scholarship or financial aid opportunities",Somewhat concerned,"Explanations of the reasoning behind the recommendations,Clear explanations of how recommendations align with my preferences",,,"Moderately priced tuition fees
 ,High-quality education,Limited availability of scholarships",,"Higher paygrade
 ,Limited availability of part-time job opportunities during studies
 ,Strong career prospects and job opportunities post-graduation",,"Lower living expenses due to economic challenges,Political stability and security in the home country,Abundant access to civil liberties and freedom of expression",,,"Lower cost of living in quieter areas
 ,Abundant opportunities for social interaction
 ,Limited social integration and community engagement","Higher cost of living in urban areas
 ,Access to diverse job opportunities with competitive salaries
 ,Limited availability of affordable housing options",,,"Efficient emergency services,Low crime rates,Active police presence",,"Diverse availability of desired courses
 ,Moderately prestige and reputation of universities
 ,More opportunity after graduation","Majority of the population speaks a language I am fluent in
 ,Communication is generally easy due to fluency in the local language
 ,No requirement for language proficiency tests (IELTS/PET/TOEFL)",,,"Limited cultural exposure and diversity on campus
 ,Accessible cultural events
 ,Greater opportunities for cultural exchange","Abundant research opportunities and resources available during studies
 ,Limited availability of research job opportunities after studies
 ,Few collaborations with other researchers",,"Limited availability of outdoor recreational activities
 ,Higher cost of living in environmentally rich regions
 ,Access to clean and sustainable living environments",
Male,21-25,Bachelor's Degree,Single,2,2,4,No,,1,PCL/+2,Bachelor's Degree,Business,"NPR 60,001 to NPR 80,000",No,Ilam,Yes,Australia,I am already in Abroad,,,,,,,Canada,01/04/2024,"STEM (Science, Technology, Engineering, Mathematics)",Easy,8,Option A,Option A,Option A,Option B,Option A,Option B,Option B,Option A,Option B,Option A,Option A,Very familiar,"Accuracy and reliability of the recommendations,Personalization based on your specific preferences and goals,Cost-effectiveness and affordability of the AI tool,User-friendly interface and ease of use","Estimating the total cost of studying and living expenses,Understanding visa and immigration requirements,Finding scholarship or financial aid opportunities",Somewhat concerned,"Explanations of the reasoning behind the recommendations,Transparency about the data sources and algorithms used,Clear explanations of how recommendations align with my preferences",,,"High-quality education,Moderately priced tuition fees
 ,Limited availability of scholarships",,"Higher paygrade
 ,Limited availability of part-time job opportunities during studies
 ,Strong career prospects and job opportunities post-graduation",,"Political stability and security in the home country,Lower living expenses due to economic challenges,Abundant access to civil liberties and freedom of expression",,,"Lower cost of living in quieter areas
 ,Abundant opportunities for social interaction
 ,Limited social integration and community engagement",,"Abundant availability of affordable housing options,Lower cost of living in rural areas
 ,Limited job opportunities with lower salaries",,"Low crime rates,Efficient emergency services,Active police presence",,"Diverse availability of desired courses
 ,More opportunity after graduation,Moderately prestige and reputation of universities","Majority of the population speaks a language I am fluent in
 ,No requirement for language proficiency tests (IELTS/PET/TOEFL)
 ,Communication is generally easy due to fluency in the local language",,,"Limited cultural exposure and diversity on campus
 ,Accessible cultural events
 ,Greater opportunities for cultural exchange","Abundant research opportunities and resources available during studies
 ,Limited availability of research job opportunities after studies
 ,Few collaborations with other researchers",,"Access to clean and sustainable living environments
 ,Limited availability of outdoor recreational activities
 ,Higher cost of living in environmentally rich regions",
