Respondent_ID,Choice_Set_ID,Main_Choice,Sub_Option,Rank,Abroad Study?
2,University Preference,B,Moderately prestige and reputation of universities,3,Yes
2,Language Access,A,Communication is generally easy due to fluency in the local language,1,Yes
2,Language Access,A,Majority of the population speaks a language I am fluent in,2,Yes
2,Language Access,A,No requirement for language proficiency tests (IELTS/PET/TOEFL),3,Yes
2,Cultural Exposure,B,Limited cultural exposure and diversity on campus,1,Yes
2,Cultural Exposure,B,Accessible cultural events,2,Yes
2,Cultural Exposure,B,Greater opportunities for cultural exchange,3,Yes
2,Research Opportunities,B,High collaborations with other researchers,1,Yes
2,Research Opportunities,B,Abundant availability of research job opportunities after studies,2,Yes
2,Research Opportunities,B,Limited research opportunities and resources available during studies,3,Yes
2,Environmental Factors,B,Lower cost of living in environmentally diverse regions,1,Yes
2,Environmental Factors,B,Exposure to environmental pollution and degradation,2,Yes
2,Environmental Factors,B,Abundant availability of outdoor recreational activities,3,Yes
3,Education Quality,A,High-quality education,1,No plan to go
3,Education Quality,A,Moderately priced tuition fees,2,No plan to go
3,Education Quality,A,Limited availability of scholarships,3,No plan to go
3,Career Prospects,A,Higher paygrade,1,No plan to go
3,Career Prospects,A,Strong career prospects and job opportunities post-graduation,2,No plan to go
3,Career Prospects,A,Limited availability of part-time job opportunities during studies,3,No plan to go
3,Political Factors,A,Lower living expenses due to economic challenges,1,No plan to go
3,Political Factors,A,Political stability and security in the home country,2,No plan to go
3,Political Factors,A,Abundant access to civil liberties and freedom of expression,3,No plan to go
3,Social Factors,A,Access to diverse social networks and communities,1,No plan to go
3,Social Factors,A,Few opportunities for social interaction,2,No plan to go
3,Social Factors,A,Higher cost of living in socially vibrant urban areas,3,No plan to go
3,Economic Factors,A,Access to diverse job opportunities with competitive salaries,1,No plan to go
3,Economic Factors,A,Limited availability of affordable housing options,2,No plan to go
3,Economic Factors,A,Higher cost of living in urban areas,3,No plan to go
3,Safety/Security,B,Low crime rates,1,No plan to go
3,Safety/Security,B,Efficient emergency services,2,No plan to go
3,Safety/Security,B,Active police presence,3,No plan to go
3,University Preference,A,Prestige and reputation of universities,1,No plan to go
3,University Preference,A,Few opportunity after graduation,2,No plan to go
3,University Preference,A,Limited availability of desired courses,3,No plan to go
3,Language Access,A,Majority of the population speaks a language I am fluent in,1,No plan to go
3,Language Access,A,Communication is generally easy due to fluency in the local language,2,No plan to go
3,Language Access,A,No requirement for language proficiency tests (IELTS/PET/TOEFL),3,No plan to go
3,Cultural Exposure,A,Rich cultural exposure and diversity on campus,1,No plan to go
3,Cultural Exposure,A,Limited access to cultural events,2,No plan to go
3,Cultural Exposure,A,Few opportunities for cultural exchange,3,No plan to go
3,Research Opportunities,A,Abundant research opportunities and resources available during studies,1,No plan to go
3,Research Opportunities,A,Few collaborations with other researchers,2,No plan to go
3,Research Opportunities,A,Limited availability of research job opportunities after studies,3,No plan to go
3,Environmental Factors,A,Access to clean and sustainable living environments,1,No plan to go
3,Environmental Factors,A,Higher cost of living in environmentally rich regions,2,No plan to go
3,Environmental Factors,A,Limited availability of outdoor recreational activities,3,No plan to go
4,Education Quality,A,High-quality education,1,Yes
4,Education Quality,A,Moderately priced tuition fees,2,Yes
4,Education Quality,A,Limited availability of scholarships,3,Yes
4,Career Prospects,B,Abundant availability of part-time job opportunities during studies,1,Yes
4,Career Prospects,B,Moderate career prospects and job opportunities post-graduation,2,Yes
4,Career Prospects,B,Lower paygrade,3,Yes
4,Political Factors,B,Limited access to civil liberties and freedom of expression,1,Yes
4,Political Factors,B,Higher living expenses due to economic challenges,2,Yes
4,Political Factors,B,Political instability and unrest in the home country,3,Yes
4,Social Factors,A,Access to diverse social networks and communities,1,Yes
4,Social Factors,A,Few opportunities for social interaction,2,Yes
4,Social Factors,A,Higher cost of living in socially vibrant urban areas,3,Yes
4,Economic Factors,A,Access to diverse job opportunities with competitive salaries,1,Yes
4,Economic Factors,A,Limited availability of affordable housing options,2,Yes
4,Economic Factors,A,Higher cost of living in urban areas,3,Yes
4,Safety/Security,B,Active police presence,1,Yes
4,Safety/Security,B,Efficient emergency services,2,Yes
4,Safety/Security,B,Low crime rates,3,Yes
4,University Preference,B,Diverse availability of desired courses,1,Yes
4,University Preference,B,More opportunity after graduation,2,Yes
4,University Preference,B,Moderately prestige and reputation of universities,3,Yes
4,Language Access,A,Majority of the population speaks a language I am fluent in,1,Yes
4,Language Access,A,Communication is generally easy due to fluency in the local language,2,Yes
4,Language Access,A,No requirement for language proficiency tests (IELTS/PET/TOEFL),3,Yes
4,Cultural Exposure,A,Rich cultural exposure and diversity on campus,1,Yes
4,Cultural Exposure,A,Limited access to cultural events,2,Yes
4,Cultural Exposure,A,Few opportunities for cultural exchange,3,Yes
4,Research Opportunities,A,Abundant research opportunities and resources available during studies,1,Yes
4,Research Opportunities,A,Few collaborations with other researchers,2,Yes
4,Research Opportunities,A,Limited availability of research job opportunities after studies,3,Yes
4,Environmental Factors,A,Access to clean and sustainable living environments,1,Yes
4,Environmental Factors,A,Higher cost of living in environmentally rich regions,2,Yes
4,Environmental Factors,A,Limited availability of outdoor recreational activities,3,Yes
5,Education Quality,A,High-quality education,1,I am already in Abroad
5,Education Quality,A,Moderately priced tuition fees,2,I am already in Abroad
5,Education Quality,A,Limited availability of scholarships,3,I am already in Abroad
5,Career Prospects,A,Higher paygrade,1,I am already in Abroad
5,Career Prospects,A,Strong career prospects and job opportunities post-graduation,2,I am already in Abroad
5,Career Prospects,A,Limited availability of part-time job opportunities during studies,3,I am already in Abroad
5,Political Factors,B,Higher living expenses due to economic challenges,1,I am already in Abroad
5,Political Factors,B,Limited access to civil liberties and freedom of expression,2,I am already in Abroad
5,Political Factors,B,Political instability and unrest in the home country,3,I am already in Abroad
5,Social Factors,B,Abundant opportunities for social interaction,1,I am already in Abroad
5,Social Factors,B,Lower cost of living in quieter areas,2,I am already in Abroad
5,Social Factors,B,Limited social integration and community engagement,3,I am already in Abroad
5,Safety/Security,B,Low crime rates,1,I am already in Abroad
5,Safety/Security,B,Efficient emergency services,2,I am already in Abroad
5,Safety/Security,B,Active police presence,3,I am already in Abroad
5,University Preference,B,Diverse availability of desired courses,1,I am already in Abroad
5,University Preference,B,More opportunity after graduation,2,I am already in Abroad
5,University Preference,B,Moderately prestige and reputation of universities,3,I am already in Abroad
5,Language Access,B,Some level of language barrier may exist making communication less straightforward,1,I am already in Abroad
5,Language Access,B,Requirement for language proficiency tests (IELTS/PET/TOEFL),2,I am already in Abroad
5,Language Access,B,Different primary language spoken requiring language adaptation,3,I am already in Abroad
5,Cultural Exposure,B,Limited cultural exposure and diversity on campus,1,I am already in Abroad
5,Cultural Exposure,B,Accessible cultural events,2,I am already in Abroad
5,Cultural Exposure,B,Greater opportunities for cultural exchange,3,I am already in Abroad
5,Research Opportunities,B,High collaborations with other researchers,1,I am already in Abroad
5,Research Opportunities,B,Abundant availability of research job opportunities after studies,2,I am already in Abroad
5,Research Opportunities,B,Limited research opportunities and resources available during studies,3,I am already in Abroad
5,Environmental Factors,B,Lower cost of living in environmentally diverse regions,1,I am already in Abroad
5,Environmental Factors,B,Exposure to environmental pollution and degradation,2,I am already in Abroad
5,Environmental Factors,B,Abundant availability of outdoor recreational activities,3,I am already in Abroad
6,Education Quality,A,Moderately priced tuition fees,1,Yes
6,Education Quality,A,High-quality education,2,Yes
6,Education Quality,A,Limited availability of scholarships,3,Yes
6,Career Prospects,A,Higher paygrade,1,Yes
6,Career Prospects,A,Strong career prospects and job opportunities post-graduation,2,Yes
6,Career Prospects,A,Limited availability of part-time job opportunities during studies,3,Yes
6,Political Factors,A,Political stability and security in the home country,1,Yes
6,Political Factors,A,Abundant access to civil liberties and freedom of expression,2,Yes
6,Political Factors,A,Lower living expenses due to economic challenges,3,Yes
6,Social Factors,A,Access to diverse social networks and communities,1,Yes
6,Social Factors,A,Few opportunities for social interaction,2,Yes
6,Social Factors,A,Higher cost of living in socially vibrant urban areas,3,Yes
6,Economic Factors,B,Abundant availability of affordable housing options,1,Yes
6,Economic Factors,B,Lower cost of living in rural areas,2,Yes
6,Economic Factors,B,Limited job opportunities with lower salaries,3,Yes
6,Safety/Security,B,Active police presence,1,Yes
6,Safety/Security,B,Efficient emergency services,2,Yes
6,Safety/Security,B,Low crime rates,3,Yes
6,University Preference,B,Diverse availability of desired courses,1,Yes
6,University Preference,B,More opportunity after graduation,2,Yes
6,University Preference,B,Moderately prestige and reputation of universities,3,Yes
6,Language Access,B,Different primary language spoken requiring language adaptation,1,Yes
6,Language Access,B,Some level of language barrier may exist making communication less straightforward,2,Yes
6,Language Access,B,Requirement for language proficiency tests (IELTS/PET/TOEFL),3,Yes
6,Cultural Exposure,B,Limited cultural exposure and diversity on campus,1,Yes
6,Cultural Exposure,B,Accessible cultural events,2,Yes
6,Cultural Exposure,B,Greater opportunities for cultural exchange,3,Yes
6,Research Opportunities,B,High collaborations with other researchers,1,Yes
6,Research Opportunities,B,Abundant availability of research job opportunities after studies,2,Yes
6,Research Opportunities,B,Limited research opportunities and resources available during studies,3,Yes
6,Environmental Factors,A,Higher cost of living in environmentally rich regions,1,Yes
6,Environmental Factors,A,Access to clean and sustainable living environments,2,Yes
6,Environmental Factors,A,Limited availability of outdoor recreational activities,3,Yes
7,Education Quality,A,Moderately priced tuition fees,1,I am already in Abroad
7,Education Quality,A,High-quality education,2,I am already in Abroad
7,Education Quality,A,Limited availability of scholarships,3,I am already in Abroad
7,Career Prospects,A,Higher paygrade,1,I am already in Abroad
7,Career Prospects,A,Strong career prospects and job opportunities post-graduation,2,I am already in Abroad
7,Career Prospects,A,Limited availability of part-time job opportunities during studies,3,I am already in Abroad
7,Political Factors,B,Higher living expenses due to economic challenges,1,I am already in Abroad
7,Political Factors,B,Limited access to civil liberties and freedom of expression,2,I am already in Abroad
7,Political Factors,B,Political instability and unrest in the home country,3,I am already in Abroad
7,Social Factors,A,Higher cost of living in socially vibrant urban areas,1,I am already in Abroad
7,Social Factors,A,Access to diverse social networks and communities,2,I am already in Abroad
7,Social Factors,A,Few opportunities for social interaction,3,I am already in Abroad
7,Economic Factors,A,Access to diverse job opportunities with competitive salaries,1,I am already in Abroad
7,Economic Factors,A,Higher cost of living in urban areas,2,I am already in Abroad
7,Economic Factors,A,Limited availability of affordable housing options,3,I am already in Abroad
7,Safety/Security,B,Active police presence,1,I am already in Abroad
7,Safety/Security,B,Efficient emergency services,2,I am already in Abroad
7,Safety/Security,B,Low crime rates,3,I am already in Abroad
7,University Preference,A,Prestige and reputation of universities,1,I am already in Abroad
7,University Preference,A,Limited availability of desired courses,2,I am already in Abroad
7,University Preference,A,Few opportunity after graduation,3,I am already in Abroad
7,Language Access,A,Communication is generally easy due to fluency in the local language,1,I am already in Abroad
7,Language Access,A,Majority of the population speaks a language I am fluent in,2,I am already in Abroad
7,Language Access,A,No requirement for language proficiency tests (IELTS/PET/TOEFL),3,I am already in Abroad
7,Cultural Exposure,A,Limited access to cultural events,1,I am already in Abroad
7,Cultural Exposure,A,Rich cultural exposure and diversity on campus,2,I am already in Abroad
7,Cultural Exposure,A,Few opportunities for cultural exchange,3,I am already in Abroad
7,Research Opportunities,A,Few collaborations with other researchers,1,I am already in Abroad
7,Research Opportunities,A,Abundant research opportunities and resources available during studies,2,I am already in Abroad
7,Research Opportunities,A,Limited availability of research job opportunities after studies,3,I am already in Abroad
7,Environmental Factors,A,Higher cost of living in environmentally rich regions,1,I am already in Abroad
7,Environmental Factors,A,Access to clean and sustainable living environments,2,I am already in Abroad
7,Environmental Factors,A,Limited availability of outdoor recreational activities,3,I am already in Abroad
8,Education Quality,A,High-quality education,1,Yes
8,Education Quality,A,Moderately priced tuition fees,2,Yes
8,Education Quality,A,Limited availability of scholarships,3,Yes
8,Career Prospects,A,Higher paygrade,1,Yes
8,Career Prospects,A,Strong career prospects and job opportunities post-graduation,2,Yes
8,Career Prospects,A,Limited availability of part-time job opportunities during studies,3,Yes
8,Political Factors,B,Higher living expenses due to economic challenges,1,Yes
8,Political Factors,B,Limited access to civil liberties and freedom of expression,2,Yes
8,Political Factors,B,Political instability and unrest in the home country,3,Yes
8,Social Factors,A,Higher cost of living in socially vibrant urban areas,1,Yes
8,Social Factors,A,Access to diverse social networks and communities,2,Yes
8,Social Factors,A,Few opportunities for social interaction,3,Yes
8,Safety/Security,B,Active police presence,1,Yes
8,Safety/Security,B,Efficient emergency services,2,Yes
8,Safety/Security,B,Low crime rates,3,Yes
8,University Preference,A,Prestige and reputation of universities,1,Yes
8,University Preference,A,Limited availability of desired courses,2,Yes
8,University Preference,A,Few opportunity after graduation,3,Yes
8,Language Access,A,Communication is generally easy due to fluency in the local language,1,Yes
8,Language Access,A,Majority of the population speaks a language I am fluent in,2,Yes
8,Language Access,A,No requirement for language proficiency tests (IELTS/PET/TOEFL),3,Yes
8,Cultural Exposure,A,Rich cultural exposure and diversity on campus,1,Yes
8,Cultural Exposure,A,Limited access to cultural events,2,Yes
8,Cultural Exposure,A,Few opportunities for cultural exchange,3,Yes
8,Research Opportunities,A,Abundant research opportunities and resources available during studies,1,Yes
8,Research Opportunities,A,Limited availability of research job opportunities after studies,2,Yes
8,Research Opportunities,A,Few collaborations with other researchers,3,Yes
8,Environmental Factors,B,Abundant availability of outdoor recreational activities,1,Yes
8,Environmental Factors,B,Exposure to environmental pollution and degradation,2,Yes
8,Environmental Factors,B,Lower cost of living in environmentally diverse regions,3,Yes
9,Education Quality,A,High-quality education,1,I am already in Abroad
9,Education Quality,A,Moderately priced tuition fees,2,I am already in Abroad
9,Education Quality,A,Limited availability of scholarships,3,I am already in Abroad
9,Career Prospects,A,Higher paygrade,1,I am already in Abroad
9,Career Prospects,A,Strong career prospects and job opportunities post-graduation,2,I am already in Abroad
9,Career Prospects,A,Limited availability of part-time job opportunities during studies,3,I am already in Abroad
9,Political Factors,A,Lower living expenses due to economic challenges,1,I am already in Abroad
9,Political Factors,A,Political stability and security in the home country,2,I am already in Abroad
9,Political Factors,A,Abundant access to civil liberties and freedom of expression,3,I am already in Abroad
9,Social Factors,B,Abundant opportunities for social interaction,1,I am already in Abroad
9,Social Factors,B,Lower cost of living in quieter areas,2,I am already in Abroad
9,Social Factors,B,Limited social integration and community engagement,3,I am already in Abroad
9,Economic Factors,B,Limited job opportunities with lower salaries,1,I am already in Abroad
9,Economic Factors,B,Abundant availability of affordable housing options,2,I am already in Abroad
9,Economic Factors,B,Lower cost of living in rural areas,3,I am already in Abroad
9,Safety/Security,B,Active police presence,1,I am already in Abroad
9,Safety/Security,B,Efficient emergency services,2,I am already in Abroad
9,Safety/Security,B,Low crime rates,3,I am already in Abroad
9,University Preference,A,Prestige and reputation of universities,1,I am already in Abroad
9,University Preference,A,Limited availability of desired courses,2,I am already in Abroad
9,University Preference,A,Few opportunity after graduation,3,I am already in Abroad
9,Language Access,B,Some level of language barrier may exist making communication less straightforward,1,I am already in Abroad
9,Language Access,B,Different primary language spoken requiring language adaptation,2,I am already in Abroad
9,Language Access,B,Requirement for language proficiency tests (IELTS/PET/TOEFL),3,I am already in Abroad
9,Cultural Exposure,B,Limited cultural exposure and diversity on campus,1,I am already in Abroad
9,Cultural Exposure,B,Accessible cultural events,2,I am already in Abroad
9,Cultural Exposure,B,Greater opportunities for cultural exchange,3,I am already in Abroad
9,Research Opportunities,B,Abundant availability of research job opportunities after studies,1,I am already in Abroad
9,Research Opportunities,B,High collaborations with other researchers,2,I am already in Abroad
9,Research Opportunities,B,Limited research opportunities and resources available during studies,3,I am already in Abroad
9,Environmental Factors,B,Lower cost of living in environmentally diverse regions,1,I am already in Abroad
9,Environmental Factors,B,Exposure to environmental pollution and degradation,2,I am already in Abroad
9,Environmental Factors,B,Abundant availability of outdoor recreational activities,3,I am already in Abroad
10,Education Quality,B,High tuition fees,1,No plan to go
10,Education Quality,B,Abundant availability of scholarships,2,No plan to go
10,Education Quality,B,Moderate-quality education,3,No plan to go
10,Career Prospects,A,Strong career prospects and job opportunities post-graduation,1,No plan to go
10,Career Prospects,A,Higher paygrade,2,No plan to go
10,Career Prospects,A,Limited availability of part-time job opportunities during studies,3,No plan to go
10,Political Factors,A,Political stability and security in the home country,1,No plan to go
10,Political Factors,A,Abundant access to civil liberties and freedom of expression,2,No plan to go
10,Political Factors,A,Lower living expenses due to economic challenges,3,No plan to go
10,Social Factors,B,Abundant opportunities for social interaction,1,No plan to go
10,Social Factors,B,Lower cost of living in quieter areas,2,No plan to go
10,Social Factors,B,Limited social integration and community engagement,3,No plan to go
10,Economic Factors,B,Limited job opportunities with lower salaries,1,No plan to go
10,Economic Factors,B,Abundant availability of affordable housing options,2,No plan to go
10,Economic Factors,B,Lower cost of living in rural areas,3,No plan to go
10,Safety/Security,B,Efficient emergency services,1,No plan to go
10,Safety/Security,B,Low crime rates,2,No plan to go
10,Safety/Security,B,Active police presence,3,No plan to go
10,University Preference,B,Diverse availability of desired courses,1,No plan to go
10,University Preference,B,Moderately prestige and reputation of universities,2,No plan to go
10,University Preference,B,More opportunity after graduation,3,No plan to go
10,Language Access,B,Some level of language barrier may exist making communication less straightforward,1,No plan to go
10,Language Access,B,Different primary language spoken requiring language adaptation,2,No plan to go
10,Language Access,B,Requirement for language proficiency tests (IELTS/PET/TOEFL),3,No plan to go
10,Cultural Exposure,B,Greater opportunities for cultural exchange,1,No plan to go
10,Cultural Exposure,B,Limited cultural exposure and diversity on campus,2,No plan to go
10,Cultural Exposure,B,Accessible cultural events,3,No plan to go
10,Research Opportunities,A,Few collaborations with other researchers,1,No plan to go
10,Research Opportunities,A,Limited availability of research job opportunities after studies,2,No plan to go
10,Research Opportunities,A,Abundant research opportunities and resources available during studies,3,No plan to go
10,Environmental Factors,B,Abundant availability of outdoor recreational activities,1,No plan to go
10,Environmental Factors,B,Exposure to environmental pollution and degradation,2,No plan to go
10,Environmental Factors,B,Lower cost of living in environmentally diverse regions,3,No plan to go
11,Education Quality,A,Moderately priced tuition fees,1,Yes
11,Education Quality,A,High-quality education,2,Yes
11,Education Quality,A,Limited availability of scholarships,3,Yes
11,Career Prospects,B,Abundant availability of part-time job opportunities during studies,1,Yes
11,Career Prospects,B,Moderate career prospects and job opportunities post-graduation,2,Yes
11,Career Prospects,B,Lower paygrade,3,Yes
11,Political Factors,B,Higher living expenses due to economic challenges,1,Yes
11,Political Factors,B,Political instability and unrest in the home country,2,Yes
11,Political Factors,B,Limited access to civil liberties and freedom of expression,3,Yes
11,Social Factors,B,Abundant opportunities for social interaction,1,Yes
11,Social Factors,B,Lower cost of living in quieter areas,2,Yes
11,Social Factors,B,Limited social integration and community engagement,3,Yes
11,Safety/Security,A,Inadequate emergency services,1,Yes
11,Safety/Security,A,High crime rates,2,Yes
11,Safety/Security,A,Limited police presence,3,Yes
11,University Preference,A,Prestige and reputation of universities,1,Yes
11,University Preference,A,Limited availability of desired courses,2,Yes
11,University Preference,A,Few opportunity after graduation,3,Yes
11,Language Access,A,No requirement for language proficiency tests (IELTS/PET/TOEFL),1,Yes
11,Language Access,A,Majority of the population speaks a language I am fluent in,2,Yes
11,Language Access,A,Communication is generally easy due to fluency in the local language,3,Yes
11,Cultural Exposure,B,Greater opportunities for cultural exchange,1,Yes
11,Cultural Exposure,B,Limited cultural exposure and diversity on campus,2,Yes
11,Cultural Exposure,B,Accessible cultural events,3,Yes
11,Research Opportunities,B,Abundant availability of research job opportunities after studies,1,Yes
11,Research Opportunities,B,High collaborations with other researchers,2,Yes
11,Research Opportunities,B,Limited research opportunities and resources available during studies,3,Yes
11,Environmental Factors,B,Lower cost of living in environmentally diverse regions,1,Yes
11,Environmental Factors,B,Exposure to environmental pollution and degradation,2,Yes
11,Environmental Factors,B,Abundant availability of outdoor recreational activities,3,Yes
12,Education Quality,A,High-quality education,1,Yes
12,Education Quality,A,Moderately priced tuition fees,2,Yes
12,Education Quality,A,Limited availability of scholarships,3,Yes
12,Career Prospects,A,Higher paygrade,1,Yes
12,Career Prospects,A,Limited availability of part-time job opportunities during studies,2,Yes
12,Career Prospects,A,Strong career prospects and job opportunities post-graduation,3,Yes
12,Political Factors,B,Political instability and unrest in the home country,1,Yes
12,Political Factors,B,Higher living expenses due to economic challenges,2,Yes
12,Political Factors,B,Limited access to civil liberties and freedom of expression,3,Yes
12,Social Factors,B,Abundant opportunities for social interaction,1,Yes
12,Social Factors,B,Lower cost of living in quieter areas,2,Yes
12,Social Factors,B,Limited social integration and community engagement,3,Yes
12,Economic Factors,A,Higher cost of living in urban areas,1,Yes
12,Economic Factors,A,Access to diverse job opportunities with competitive salaries,2,Yes
12,Economic Factors,A,Limited availability of affordable housing options,3,Yes
12,Safety/Security,A,Inadequate emergency services,1,Yes
12,Safety/Security,A,High crime rates,2,Yes
12,Safety/Security,A,Limited police presence,3,Yes
12,University Preference,B,Moderately prestige and reputation of universities,1,Yes
12,University Preference,B,More opportunity after graduation,2,Yes
12,University Preference,B,Diverse availability of desired courses,3,Yes
12,Language Access,A,No requirement for language proficiency tests (IELTS/PET/TOEFL),1,Yes
12,Language Access,A,Majority of the population speaks a language I am fluent in,2,Yes
12,Language Access,A,Communication is generally easy due to fluency in the local language,3,Yes
12,Cultural Exposure,B,Greater opportunities for cultural exchange,1,Yes
12,Cultural Exposure,B,Limited cultural exposure and diversity on campus,2,Yes
12,Cultural Exposure,B,Accessible cultural events,3,Yes
12,Research Opportunities,B,High collaborations with other researchers,1,Yes
12,Research Opportunities,B,Abundant availability of research job opportunities after studies,2,Yes
12,Research Opportunities,B,Limited research opportunities and resources available during studies,3,Yes
12,Environmental Factors,B,Lower cost of living in environmentally diverse regions,1,Yes
12,Environmental Factors,B,Exposure to environmental pollution and degradation,2,Yes
12,Environmental Factors,B,Abundant availability of outdoor recreational activities,3,Yes
13,Education Quality,A,High-quality education,1,No plan to go
13,Education Quality,A,Moderately priced tuition fees,2,No plan to go
13,Education Quality,A,Limited availability of scholarships,3,No plan to go
13,Career Prospects,A,Limited availability of part-time job opportunities during studies,1,No plan to go
13,Career Prospects,A,Higher paygrade,2,No plan to go
13,Career Prospects,A,Strong career prospects and job opportunities post-graduation,3,No plan to go
13,Political Factors,A,Lower living expenses due to economic challenges,1,No plan to go
